date,active_count,num_years_avg
2018-11-30,103,3.5059641288384755
2018-12-01,102,3.5377058420904315
2018-12-31,102,3.619841365704392
2019-01-01,105,3.519076953163195
2019-02-28,105,3.677872298816859
2019-03-01,107,3.6118136982095215
2019-03-31,107,3.693949221823484
2019-04-01,106,3.7150568878901753
2019-04-30,106,3.794454560717008
2019-05-01,107,3.7617046319573713
2019-05-31,107,3.8438401555713337
2019-06-01,110,3.7416713334577785
2019-06-30,110,3.821069006284611
2019-07-01,114,3.674315837506156
2019-07-14,114,3.709907897738874
2019-07-15,115,3.6803618724518654
2019-07-31,115,3.7241674850459794
2019-08-01,114,3.735509204222054
2019-08-31,114,3.8176447278360164
2019-09-01,117,3.7224240509661435
2019-09-23,117,3.7826567682830503
2019-09-24,116,3.8160211475371124
2019-09-30,116,3.8324482522599075
2019-10-01,118,3.7701829487581073
2019-11-30,118,3.934453995986032
2019-12-01,119,3.9041062010019636
2020-01-31,119,4.071115099017018
2020-02-01,121,4.006516537410693
2020-02-28,121,4.0804385086632635
2020-02-29,120,4.110974218571754
2020-03-01,121,4.079714448950961
2020-03-31,121,4.161849972564925
2020-04-01,122,4.130451857586874
2020-04-30,122,4.209849530413708
2020-05-01,120,4.241181838923114
2020-05-31,120,4.3233173625370735
2020-06-01,119,4.353988001771552
2020-06-30,119,4.433385674598382
2020-07-01,118,4.467360410213576
2020-08-31,118,4.634369308228633
2020-09-01,118,4.572141208134665
2020-09-30,118,4.651538880961497
2020-10-01,120,4.550308008213553
2021-01-31,120,4.884325804243669
2021-02-01,119,4.913360826876952
2021-02-28,119,4.987282798129517
2021-03-01,117,5.051849511808444
2021-03-31,117,5.133985035422408
2021-04-01,117,5.117511129831459
2021-04-30,117,5.19690880265829
2021-05-01,116,5.21289150086148
2021-06-30,116,5.377162548089406
2021-07-01,117,5.333918344185286
2021-07-29,117,5.410578166224984
2021-07-30,116,5.459298071703368
2021-07-31,116,5.4620359224904975
2021-08-01,117,5.393870256293254
2021-08-31,117,5.476005779907219
2021-09-01,118,5.398415294841007
2021-09-15,118,5.436745205860857
2021-09-16,119,5.3937731149954855
2021-09-30,119,5.432103026015334
2021-10-01,122,5.301197248684375
2021-10-17,122,5.345002861278488
2021-10-18,123,5.304263145300855
2021-11-14,123,5.378185116553422
2021-11-15,124,5.337528427281359
2021-12-13,124,5.414188249321058
2021-12-14,123,5.434255410315913
2021-12-31,123,5.4807988736971565
2022-01-01,127,5.253676965943939
2022-01-31,127,5.3358124895579
2022-02-01,125,5.385921971252566
2022-02-13,125,5.41877618069815
2022-02-14,126,5.378486142346511
2022-03-31,126,5.501689427767456
2022-04-01,127,5.461085331479357
2022-04-10,127,5.485725988563545
2022-04-11,128,5.445585215605748
2022-06-30,128,5.664613278576315
2022-07-01,130,5.507123677144212
2022-07-31,130,5.589259200758175
2022-08-01,130,5.509313957773918
2022-08-14,130,5.5449060180066345
2022-08-15,133,5.422509044685638
2022-08-31,133,5.466314657279751
2022-09-01,135,5.388029507947371
2022-09-14,135,5.423621568180088
2022-09-15,136,5.386459717357169
2022-09-30,136,5.42752747916415
2022-10-01,135,5.363145486348775
2022-10-18,135,5.409688949730017
2022-10-19,134,5.444686219824901
2022-10-30,134,5.474802578483357
2022-10-31,133,5.481156690494202
2022-11-06,133,5.497583795216995
2022-11-07,134,5.459274469541406
2022-11-30,134,5.522245037645448
2022-12-01,134,5.501343385740699
2022-12-31,134,5.583478909354666
2023-01-01,133,5.552381981648168
2023-02-28,133,5.711177327301824
2023-03-01,134,5.671274020043517
2023-03-14,134,5.706866080276238
2023-03-15,135,5.667310568611049
2023-03-31,135,5.711116181205163
2023-04-01,133,5.751936308944848
2023-04-30,133,5.831333981771676
2023-05-01,134,5.748281181362182
2023-05-31,134,5.830416704976145
2023-06-01,135,5.746140390904254
2023-06-30,135,5.825538063731082
2023-07-01,135,5.815337034501989
2023-07-31,135,5.897472558115952
2023-08-01,136,5.8360107903531
2023-08-31,136,5.9181463139670685
2023-09-01,137,5.7614372717416815
2023-09-30,137,5.840834944568515
2023-10-01,136,5.845492611829123
2023-10-31,136,5.927628135443092
2023-11-01,135,5.834420868507111
2023-11-13,135,5.867275077952698
2023-11-14,136,5.826851068969682
2023-12-31,136,5.955530055964888
2024-01-01,134,5.879902336367441
2024-01-31,134,5.9620378599814075
2024-02-01,135,5.920592186985071
2024-02-29,135,5.997252009024768
2024-03-01,135,5.8673156387050955
2024-03-06,135,5.881004892640757
